x,y,population,cluster,centroid
730,442,10914,4,671;443
713,390,93019,4,671;443
627,486,440170,4,671;443
711,434,54571,4,671;443
615,503,73240,4,671;443
663,450,17062,4,671;443
680,407,14564,4,671;443
717,463,37765,4,671;443
729,435,21452,4,671;443
663,385,22232,4,671;443
671,432,10456,4,671;443
703,397,80404,4,671;443
684,477,412992,4,671;443
619,479,15625,4,671;443
646,417,10597,4,671;443
712,452,20947,4,671;443
656,459,19568,4,671;443
642,425,19198,4,671;443
628,502,23421,4,671;443
627,480,20267,4,671;443
652,426,19564,4,671;443
628,453,9604,4,671;443
639,471,40404,4,671;443
687,408,17241,4,671;443
709,417,195085,4,671;443
693,389,34339,4,671;443
706,460,13228,4,671;443
657,385,8729,4,671;443
693,397,24484,4,671;443
733,457,50251,4,671;443
674,415,59774,4,671;443
659,420,8547,4,671;443
672,424,11545,4,671;443
620,466,32297,4,671;443
702,389,119490,4,671;443
656,405,14962,4,671;443
638,445,245284,4,671;443
700,424,22915,4,671;443
743,471,49746,4,671;443
702,479,297619,4,671;443
667,411,20634,4,671;443
639,496,45924,4,671;443
695,406,67023,4,671;443
685,429,9045,4,671;443
638,463,34869,4,671;443
674,468,14400,4,671;443
684,385,54428,4,671;443
663,425,19198,4,671;443
629,465,8118,4,671;443
458,551,250304,5,458;551
809,233,1223348,6,785;280
776,287,96319,6,785;280
789,287,193059,6,785;280
770,309,39451,6,785;280
782,284,55485,6,785;280
317,435,209226,7,322;442
327,450,800647,7,322;442
668,219,5194651,8,666;215
665,208,703451,8,666;215
664,219,916924,8,666;215
912,203,1385108,9,883;247
909,207,634266,9,883;247
868,300,32420,9,883;247
913,207,2230722,9,883;247
911,208,2504700,9,883;247
869,298,22591,9,883;247
892,208,108692,9,883;247
883,216,349497,9,883;247
867,260,601723,9,883;247
866,262,139966,9,883;247
894,227,1526006,9,883;247
871,300,35725,9,883;247
864,261,12332,9,883;247
865,293,204214,9,883;247
888,211,297735,9,883;247
870,261,863416,9,883;247
911,205,1585873,9,883;247
865,261,207627,9,883;247
868,299,17411,9,883;247
371,266,600158,10,367;268
364,270,534543,10,367;268
596,447,16274,11,574;434
581,495,192663,11,574;434
553,429,12934,11,574;434
586,460,39566,11,574;434
608,377,77076,11,574;434
599,434,22721,11,574;434
582,426,24552,11,574;434
607,401,77435,11,574;434
573,414,22609,11,574;434
556,464,64524,11,574;434
562,451,23796,11,574;434
571,470,10834,11,574;434
552,483,45413,11,574;434
582,406,22995,11,574;434
580,452,9091,11,574;434
563,415,13171,11,574;434
605,451,10132,11,574;434
590,378,21273,11,574;434
568,335,38634,11,574;434
560,436,10546,11,574;434
581,486,35654,11,574;434
603,442,153716,11,574;434
594,440,46735,11,574;434
548,427,32334,11,574;434
586,400,32923,11,574;434
562,409,17058,11,574;434
610,425,21853,11,574;434
571,498,81837,11,574;434
552,444,121729,11,574;434
598,389,382748,11,574;434
556,472,86771,11,574;434
573,484,14445,11,574;434
552,373,42391,11,574;434
597,380,113237,11,574;434
584,373,61754,11,574;434
589,417,26120,11,574;434
564,469,8865,11,574;434
571,380,22353,11,574;434
597,400,17853,11,574;434
546,476,14585,11,574;434
602,419,11508,11,574;434
513,437,2368139,11,574;434
587,435,17195,11,574;434
538,494,455746,11,574;434
565,504,252267,11,574;434
595,427,41639,11,574;434
542,446,209714,11,574;434
610,434,27979,11,574;434
545,488,26384,11,574;434
561,380,125744,11,574;434
597,354,41513,11,574;434
562,371,61948,11,574;434
541,437,41964,11,574;434
553,452,53330,11,574;434
606,389,68356,11,574;434
575,439,116979,11,574;434
539,520,313166,11,574;434
591,392,107118,11,574;434
596,418,5368,11,574;434
568,373,18125,11,574;434
570,442,254969,11,574;434
567,484,35710,11,574;434
596,463,22309,11,574;434
583,394,96024,11,574;434
529,359,603150,11,574;434
601,409,8689,11,574;434
573,453,26656,11,574;434
545,459,50845,11,574;434
543,427,10605,11,574;434
537,484,67861,11,574;434
552,406,33151,11,574;434
593,408,8116,11,574;434
573,404,11291,11,574;434
561,493,54635,11,574;434
594,455,15313,11,574;434
585,504,6839,11,574;434
540,504,4092450,11,574;434
584,475,52334,11,574;434
553,498,75643,11,574;434
577,465,24233,11,574;434
549,438,39309,11,574;434
604,462,14890,11,574;434
560,430,30464,11,574;434
591,485,25764,11,574;434
565,460,25448,11,574;434
549,432,12401,11,574;434
559,421,92565,11,574;434
597,472,131613,11,574;434
575,425,7645,11,574;434
610,416,18509,11,574;434
580,438,41207,11,574;434
578,384,22185,11,574;434
576,371,25540,11,574;434
587,386,10445,11,574;434
561,483,21766,11,574;434
580,415,8997,11,574;434
560,442,65631,11,574;434
569,424,43462,11,574;434
567,406,13781,11,574;434
586,446,14353,11,574;434
715,301,741084,12,677;309
707,301,39364,12,677;309
700,350,626680,12,677;309
629,297,998954,12,677;309
644,326,75674,12,677;309
637,292,269279,12,677;309
706,307,28602,12,677;309
632,297,319294,12,677;309
720,309,43437,12,677;309
125,39,1931243,13,115;56
129,27,713335,13,115;56
117,47,795225,13,115;56
103,88,375992,13,115;56
103,79,735334,13,115;56
129,387,3095308,14,149;374
105,359,9818566,14,149;374
178,324,1951168,14,149;374
184,383,20489,14,149;374
156,393,174528,14,149;374
181,404,195751,14,149;374
113,368,3010232,14,149;374
